questionID,sentence,ChatGPT4_label,label,correct
12,He said "you're always sad or depressed.",P,,
12,And he picked up his phone and ignored me.,S,,
12,"I said, ""Please don't exaggerate, that isn't true.""",P,,
12,"And he said, ""Whatever babe.",S,,
12,You just want to be sad.",P,,
12,How can I get through to him so he will take me seriously?,P,,
13,Every winter I find myself getting sad because of the weather.,B,,
13,How can I fight this?,N,,
14,I'm going through some things with my feelings and myself.,P,,
14,I barely sleep and I do nothing but think about how I'm worthless and how I shouldn't be here.,B,,
14,I've never tried or contemplated suicide.,P,,
14,"I've always wanted to fix my issues, but I never get around to it.",P,,
14,How can I change my feeling of being worthless to everyone?,P,,
15,I can't even smile or fake one.,P,,
15,I can't feel happiness about anything and I can't show love towards another person not even my girlfriend.,P,,
15,I hate myself sometimes.,P,,
15,All I see is ugly.,P,,
15,I can't get over the loss of a loved one and I'm not close to my family.,S,,
15,What can I do?,N,,
16,I feel like I'm so alone.,S,,
16,I treat people horribly based on what's going on in my life and don't realize it.,P,,
16,"It ends up pushing them away, especially the ones I love the most.",S,,
16,"I have a weird feeling deep down inside, and it won't go away.",P,,
16,I feel like I'm collapsing.,P,,
17,I struggle with depression as well as pretty intense mood swings throughout the month.,P,,
17,"I experience highs where I feel amazing and energetic and then lows where I lack focus, energy, and generally have a more dark outlook on my life.",P,,
17,How can I live a more balanced life?,N,,
18,I¡¯m facing severe depression and anxiety and I just feel like I¡¯m going through a lot.,P,,
18,This really distracts me and I cant get my mind off the things that are bothering me.,P,,
18,How do I overcome this anxierty and depression?,P,,
19,I am the problem.,P,,
19,I make my family argue because of me.,S,,
19,My mom has even said it.,S,,
19,It's constantly like this.,N,,
19,I cause problems.,S,,
19,I am worthless.,P,,
19,I can't stop crying.,B,,
19,Sometimes I have to cry myself to sleep.,B,,
19,I can't even leave my room because my family can't stand me.,S,,
20,I'm in my late teens and live with my dad.,S,,
20,The only time I go out is for my college classes.,S,,
20,"Sometimes when I see my friends I want to talk with them, but sometimes I won't want to talk to them for days or even weeks.",P,,
20,Sometimes I feel i'm not worth knowing or i'm never going to do anything right.,P,,
20,"Are they right, am I depressed?",P,,
21,I'm very depressed.,P,,
21,How do I find someone to talk to?,S,,
22,I've never been able to talk with my parents.,S,,
22,My parents are in their sixties while I am a teenager.,S,,
22,I love both of them but not their personalities.,P,,
22,I feel that they do not take me seriously whenever I talk about a serious event in my life.,S,,
22,"If my dad doesn¡¯t believe me, then my mom goes along with my dad and acts like she doesn¡¯t believe me either.",S,,
22,"I¡¯m a pansexual, but I can¡¯t trust my own parents.",S,,
22,"I've fought depression and won; however, stress and anxiety are killing me.",P,,
22,I feel that my friends don't listen to me.,S,,
22,"I know they have their own problems, which I do my best to help with.",S,,
22,"But they don't always try to help me with mine, when I really need them.",S,,
22,I feel as if my childhood has been taken from me.,P,,
22,I feel as if I have no one whom I can trust.,S,,
23,"I suffer from adult ADHD, anxiety disorder, and depression.",B,,
23,It has been difficult to find a doctor in my area and my primary physician won't help.,S,,
23,I am unemployed and overwhelmed.,S,,
23,What would you suggest I do?,N,,
24,I was married to a narcissist sociopath for 10 years.,S,,
24,During that time I was a general manager.,S,,
24,I used to help him financially and in other ways when we were together.,S,,
24,But things began to change.,N,,
24,He emotionally and sexually drained me.,P,,
24,I lost my spirit.,P,,
24,I used to be a very happy person but now I am a loner.,P,,
24,I left him and moved to another state.,S,,
24,"Currently, I'm working as a server which makes me believe less in myself.",P,,
24,I feel pity for myself a lot but don't know what to do.,P,,
24,"When I have money problems, he does not help me.",S,,
24,He actually enjoys seeing me have a hard time in my life.,P,,
24,I need help.,N,,
25,"I have bipolar disorder, paranoid personality disorder, posttraumatic stress disorder, anxiety and obsessive-compulsive disorder.",B,,
25,I last self-harmed a week ago.,P,,
25,"When I am stressed, overwhelmed, hurt, or angry, the urge to self-harm is all I can think of.",P,,
25,I am trying to seek help.,P,,
26,I just feel sad all the time and I don't like anyone in my family.,P,,
26,I feel like they're trying to control me and won't let me grow.,S,,
27,I'm starting to think that I might have depression.,P,,
27,"The thing is though, I'm not exactly sad.",P,,
27,"I can joke with my friends and stuff, but I've stopped caring about my work, and I've been starting to think that life is pointless.",P,,
27,"I really have no clue if I need help, or if I'm just tired or something.",N,,
28,I've had posttraumatic stress disorder for years without my parents ever finding out.,P,,
28,"I want to overcome it, but it¡¯s so vivid, it¡¯s like it¡¯s happening again.",P,,
28,I'm scared and paranoid.,P,,
28,"I have depression, which I have been struggling with since a young age.",P,,
29,I have twin toddlers.,S,,
29,I experienced a death of loved one prior to giving birth.,P,,
29,I had a horrible break up with the father.,P,,
29,People told him he was using me for money.,S,,
29,My ex-boyfriend had extreme meltdowns every day for three years.,P,,
29,I¡¯m always alone with no friends.,S,,
30,"In the last ten months, I've been kicked out, moved around three times, worked many jobs, stopped school to make money, had dad and mom get sick, was cheated on while pregnant, lost my baby, had relationship issues, and was betrayed.",S,,
30,I can't get a job.,S,,
30,I have no friends.,S,,
30,I feel lonely and isolated.,P,,
30,I've been dealing with all this by myself.,P,,
31,"I don't know if I have depression, but I have been very sad.",P,,
31,There are nights that I don't sleep.,B,,
31,"I don't eat all day sometimes, I don't have energy to anything anymore.",B,,
32,My motivation has gone away.,P,,
32,It's hard to get out of bed.,B,,
32,I really don't know what to do anymore.,P,,
32,I'm miserable.,P,,
32,My anxiety and depression have taken over my life.,P,,
33,I'm in my early 20s.,N,,
33,I've worked since two months after I turned 18.,S,,
33,"I have ¡°plans.¡± I could become an electrician, or I could operate heavy machinery.",P,,
33,"I have goals, but I do nothing to try to meet them because I don't feel I can.",P,,
33,I just want a better life for my fianc¨¦e and the kids than I did.,S,,
34,I'm in my mid 20s with a husband and children.,S,,
34,"I love my family, but I feel like I've lost my identity, and I don't know who I am other than a mom and wife.",P,,
34,"At times, all I can think is what I gave up and how I feel unhappy and trapped, but I know I'd feel like worse without them.",P,,
34,I loathe myself at times.,P,,
34,"I have an amazing life, so why can't I just enjoy it?",P,,
35,I stress over everything.,P,,
35,"If I don't have enough ""quality time"" with my boyfriend, I start to feel resentment towards him.",P,,
35,"He has three children, and they are great kids, but I find we don't have much time together.",S,,
35,I break down easily and find myself depressed.,P,,
36,"I'm currently up paranoid about, well, everything.",P,,
36,"I can't get to sleep, and I have a feeling of being watched constantly.",P,,
36,I have extreme depression and anxiety.,P,,
36,I'd really like to not be this paranoid and go to bed.,P,,
36,"I've tried night lights, ambiance, and warm baths.",B,,
37,I have an alcoholic son who is draining me financially.,S,,
37,"I want to get him help, but he doesn't want help.",P,,
37,It's making me anxious and depressed.,P,,
38,"I'm currently struggling with diagnosed depression, anxiety, and Misophonia.",B,,
38,"Also, I am 99% sure I have Borderline Personality Disorder and Avoidant Personality Disorder.",P,,
38,"I read the DSM-IV, taken college psychology, etc.",N,,
38,I know it in my heart I have them.,P,,
38,Is self-diagnosing okay with the right research?,N,,
39,I am pretty sure I have depression and anxiety.,P,,
39,I also have voices in my head.,P,,
39,I have problems sleeping too.,B,,
39,I've already been diagnosed with attention-deficit disorder and obsessive-compulsive disorder.,P,,
39,I have self-harmed in the last and used to be suicidal.,P,,
39,How do I tell them this and ask for therapy?,N,,
40,I think adult life is making him depressed and we often sleep in on weekends untill 1 or 2 pm.,P,,
40,"We just eat, smoke weed, watch movies, and he'll go on his phone all day.",B,,
40,He doesn't seem motivated to do much and he's often angry.,P,,
40,"I have no clue how to help him take his mind off the negative, or to distract him into a different light.",N,,
40,How do I help him?,N,,
41,"I can't seem to feel any emotion except anxiety, not even for myself.",P,,
42,I have been falling into a deep depression where I can no function during the day and night.,P,,
42,The only time I am at peace is when I¡¯m asleep.,P,,
42,"If I am with friends, family, at work, and mainly alone, I cannot think straight.",P,,
42,I no longer feel like myself.,P,,
43,I have been feeling more and more down for over a month.,P,,
43,"I have started having trouble sleeping due to panic attacks, but they are almost never triggered by something that I know of.",B,,
44,I have terrible anxiety and depression.,B,,
44,"I've tried various therapists and pills, but nothing's helped.",P,,
45,"After he got home from the hospital he was angry, then for a time wonderful.",P,,
45,Now he is depressed and hopeless again.,P,,
46,I am going through a divorce.,S,,
46,He is extremely angry.,P,,
46,He refuses to physically assist me with our teenager daughter.,S,,
46,I have no extended family support.,S,,
46,"Often times, I feel overwhelmed, tired, and joyless.",P,,
46,"I feel out of control, sad and depressed on a daily basis.",P,,
46,I am just going through the motions of life every day.,P,,
46,I am in my mid-50s.,B,,
46,I have almost 29 years on my job.,S,,
46,How can I handle this?,N,,
48,She has trouble falling and staying asleep and she's always either extremely hungry or not hungry at all.,B,,
48,She also gets angry and feels like crying really easily for no reason.,P,,
48,She says she is always "kind of down.",P,,
48,Is this depression?,N,,
48,What can I do to help her?,N,,
49,How can I get to a place where I can be content from day to day?,P,,
50,I have a severe back problem.,B,,
50,"I've had 3 major and several minor operations, but I'm still in constant pain.",B,,
50,How can I deal with the depression from this chronic pain?,P,,
51,"I self-harm, and I stop for awhile.",P,,
51,"Then when I see something sad or depressing, I automatically want to self-harm.",P,,
52,"It's not entirely true to say I enjoy being sad, but I always find a way to feel that way.",P,,
52,"I listen to sad music, read tragic stories, and, in a twisted way, like how bad it makes me feel.",P,,
52,I focus on negative aspects of my life even if they aren't legitimate or I just make it seem negative.,P,,
53,I just don't know what I want in life anymore.,P,,
53,I'm can't figure out what it is that is keeping me distracted and unfocused.,P,,
53,I can't put things into perspective at all.,P,,
53,"I'm just stuck, and I'm disappointed with my lack of accomplishments.",P,,
55,"I'm not suicidal and wouldn't take my own life, but sometimes, I've wished for an accident to occur and take it.",P,,
55,I feel like I just shouldn't be here and wish I wouldn't have been born so I didn't have to go through life.,P,,
55,"For me, it's a chore, but I don't know if that's normal or a sign of something.",P,,
56,I'm a teenager.,N,,
56,My dad has been jail for the last five years.,S,,
56,"It's tough, but my mom really tries to give a normal life to my two sisters, my brother, and I. I feel like I took upon a parent role when I'm the second youngest, and I'm not stable.",S,,
56,My mother and sisters say I'm overdramatic.,P,,
56,"I¡¯m just so hurt, and I keep breaking down.",P,,
57,I have been dealing with depression and anxiety for a number of years.,P,,
57,"I have been on medication, but lately my depression has felt worse.",B,,
57,Can counseling help?,P,,
58,I am really worried about one of my friends because I think he has major depression.,P,,
58,He disagrees with me on that.,P,,
58,He is shut off when it comes to talking to people and telling them how he really feels.,S,,
58,He told me he feels empty inside and the only emotions he feels are anger and sadness.,P,,
58,I suggested to him to get help and talk to his mom about it but he refuses.,P,,
59,"After my aunt passed away, I feel like I'm a different person.",P,,
59,I don't talk to my friends really.,S,,
60,I've become so jaded that I can't control my thoughts.,P,,
60,I cannot focus on anything and been having anxiety attacks.,P,,
61,"When I get around a particular person or when I go home, I'm just sad or irritated.",S,,
61,The feeling comes and goes all day every day.,P,,
61,I don't know what wrong.,N,,
61,I'm not sure if I'm just making up symptoms and problems in my head or if there is something actually wrong.,P,,
62,I am a teenager.,N,,
62,I have been experiencing major episodes of depression (if that's even what it is) for several years.,P,,
62,It¡¯s always getting worse.,P,,
62,"I have been having panic attacks, feeling like I can't control my fears, and I can't even bring myself to care if I live or die anymore.",P,,
62,The problem is that I don't know who to ask for help.,S,,
62,"When I try to talk to my parents, I freeze completely and can't do anything but make a joke because never once in my life have we talked about our feelings.",S,,
63,"I'm depressed often, and my mind goes a million miles a minute.",P,,
63,"Every once in a while, things are okay for a few days.",P,,
63,"After a bit, I start noticing that I am picking at my skin profusely.",B,,
63,"After roughly a week, the anxiety is back and still picking.",P,,
63,Sometimes I find myself causing fights to have change.,S,,
64,I'm constantly in a bad mood and I have no energy.,B,,
64,Is that depression?,N,,
65,I'm a teenager and I I go through periods of moodiness.,P,,
65,"I have extreme feelings (but I bury them), and then I feel nothing - just empty and emotionless.",P,,
65,"I have trust issues, low self esteem,ban extreme fear of abandonment, and I constantly reevaluate my relationships.",P,,
65,I also don't know who I am as a person.,P,,
65,"I'm not happy overall, but I'm not suicidal.",P,,
65,Can I just feel happy?,P,,
66,I know I need to deal with my depression.,P,,
66,But I don't know how and I don't want to tell anyone.,S,,
66,How can I deal with depression without telling anyone?,S,,
67,How do I make myself happy without the people who made me happy?,P,,
67,"Now that they¡¯re gone, I feel sad.",P,,
67,It¡¯s been two months now but I seem to be unable to stay okay and independent.,P,,
68,I feel like I am internally screaming all the time.,P,,
68,"Externally, I am calm, but I have this intense, unidentifiable emotion constantly.",P,,
68,I don't feel sad.,P,,
68,I don't cry a lot.,P,,
68,I feel rather emotionally distant other than the internal screaming.,P,,
68,It kind of feels like I'm a caged animal.,P,,
69,"People who are parental figures in my life have, in the past, hurt me, and some continue to do so.",S,,
69,It makes me feel like I'm not good enough for my husband or the life he provides me.,P,,
69,"I have had jobs, but I am going through a lot of my past garbage and trying to figure out when it all went wrong.",P,,
69,"Any time I bring these things up, I am expected to be over the issue.",S,,
69,"These are people that you can't just cut out, but I have never received apologies for so much of my pain.",S,,
69,I don't know what to do any more.,P,,
69,I don't know who I am anymore.,P,,
70,I am going through a very hard time and I'm so depressed.,P,,
70,My parents are getting a divorce and a lot of bad things are happening.,S,,
70,I want to lull myself.,P,,
71,My depression has been reoccurring for a long time.,P,,
71,It all started when I was being bullied in high school.,S,,
71,"In ninth grade, my principal told me I needed to stay home for a couple days to protect myself while she spoke to my classmates.",S,,
71,I needed professional help for my stress because I was having crying spells from the stress of going to school and confronting my classmates.,P,,
71,"After that, I was fine for a couple of years.",N,,
71,I entered my first year of college in a really tough program with high demands of expected work.,S,,
71,I believe my depression re-booted from there with the stress.,P,,
71,I began to cut myself because a friend of mine at the time told me how she used to do the same and it used to feel good for her.,S,,
71,"Obviously, that wasn't the right choice.",N,,
71,"I regret ever doing that, seeing as even though I'm not self-harming anymore, I always look back at that time whenever I feel very stressed.",P,,
71,I have a big problem with handling problems in life.,P,,
71,"Whenever a problem arises, I get stressed and I feel hopeless, as if it's not going to get better.",P,,
71,"I get way too stressed from my problems, which leads to overreacting a lot (especially when talking to others), which then leads to depression.",P,,
71,"I have a hard time coping with stress because I know that if I could handle it easily then I wouldn't be sad all the time, and I would say and do the right thing instead of overreacting to my loved ones.",P,,
72,I've been depressed for quite a while.,P,,
72,"I've been trying to work through it, and my boyfriend has been my rock.",S,,
72,"He is honestly the only person I trust enough to talk to about anything, but he decided to break up with me because of my depression.",S,,
72,"I cannot afford to see a therapist or anything, so he saw no hope in staying with me.",S,,
72,"My insurance has a $5000 deductible, so I¡¯m screwed.",S,,
72,I've had everything from suicidal thoughts to trying to quit my job.,P,,
72,I have no one.,S,,
72,My family doesn't care about me; they kicked me out when I turned 18 a few years ago.,S,,
72,"I had friends, but they have all moved on with their lives and have no time for me.",S,,
72,"My ex-boyfriend is trying to help but is making things worse because every time I see or hear him, I break down into tears.",S,,
72,I found out that I will never be promoted now because of my depression.,S,,
73,I always feel like I'm doing something wrong.,P,,
73,Everything I do is crappy.,P,,
73,I want to cry all the time.,P,,
73,I can't eat or sleep.,B,,
74,"I no longer carry expressions on my face, and my emotions are decreasing the more I have fights with my fianc¨¦e.",B,,
75,I'm depressed.,P,,
75,I have been for years.,P,,
75,I hide it from everyone because I'm scared of the reactions I'll get.,P,,
75,"Last time I tried telling my parents, it was a huge argument about me being too young to be depressed (I¡¯m a legal adult), calling me ungrateful, and telling me that if I can't handle things now, it's only going to get worse in the future (which is turning out to be true).",S,,
75,"It's exhausting pretending to be okay, and I don't know how much longer I can try.",P,,
75,"I'm just really tired, and sadly, I can't afford the help I need on my own.",S,,
76,He said he would try and he never did.,S,,
76,"It's been nine months, and this is making me worse.",P,,
76,"Today, he said I have to respect whatever decision he makes.",S,,
76,Is that true?,N,,
76,Am I supposed to respect the decision to leave because he can't handle what I'm going through and leaves me here crying and worried every night?,S,,
76,He's constantly changing his mind on if he wants to work it out.,S,,
77,I'm in my late 50s.,B,,
77,I never loved or have been loved.,S,,
77,"I need deeper help than is offered in my small town, but I cannot leave this town because of agoraphobia.",P,,
77,I find myself losing hope more and more.,P,,
77,"My brain barely works anymore, and my memory so small, I forget in a moment.",B,,
77,I serve no purpose.,P,,
77,"I'm incapable of work or anything of value, and I never have been.",P,,
77,"I¡¯m a complete waste of time and resources, and yet I keep trying.",P,,
77,Why?,N,,
77,Why does God insist that I continue to exist?,S,,
77,"I¡¯m not suicidal, just tired.",P,,
78,"Both of my parents committed suicide together, and I was the one who found them.",P,,
78,"I suffer from overwhelming depression, which is having an extreme effect on me and my husband¡¯s sex lives.",B,,
78,He does not understand at all and is always making me feel so uncomfortable about sex.,S,,
79,I'm depressed and recently went through a break up.,P,,
79,It¡¯s like every guy I like only wants me for sex.,S,,
79,"I think I'm ugly, and sometimes I just want to die.",P,,
79,"I have a son, and I got really big when I was pregnant.",B,,
79,I have stretch marks on my stomach.,B,,
80,"I'm not the same anymore, I don't know how to get back to who I am.",P,,
80,I'm sad and confused and angry and tired.,P,,
80,I don't sleep well.,B,,
81,"Over the years, I have slowly lost everything: my jobs, my cars, my freedom, and my money.",S,,
81,"I am a stay-at-home mom who doesn't make any money, doesn't have a car, never goes out, and cleans all day long everyday.",S,,
82,I don't have time to live or take care of myself at times.,P,,
82,"It's causing depression, stress, and anxiety.",P,,
82,I don't know what to do.,N,,
83,"Two years ago, I was separated from the military into my contract for medical issues.",B,,
83,It has emotionally destroyed me.,P,,
83,I now basically hate myself.,P,,
83,It's embarrassing to be separated from the one place who takes anyone.,P,,
83,"My family has been in the armed forces, and it has always been my dream.",S,,
83,"I can't do this alone anymore, and now my family is even worried.",S,,
84,I feel depressed even though I act like a happy with my family.,P,,
84,I act like I¡¯m happy so my son doesn¡¯t see me sad.,S,,
84,"I act like my life is a happy life, but I feel sad and depressed.",P,,
84,I sometimes think of killing myself and that my family deserve someone better than me.,P,,
84,I just cry and write in my book all these feelings.,P,,
85,"I think i may suffer from depression, and it is affecting my life and sleep.",P,,
85,"I am on my parent's insurance, and they won't let me see a therapist because they don't believe in it.",S,,
86,"When I'm sad and alone, I want to cut myself.",P,,
87,"I stopped for a while, but I¡¯ve started doing it again.",P,,
87,It¡¯s like an addiction.,P,,
87,"The more I try to stop, the more I want to do it.",P,,
87,"I¡¯ve tried doing some of the stuff they say to do like draw, but it doesn¡¯t work.",P,,
88,"I have friends, family, I live in a good home, I go to a nice high school, and I get pretty good grades, but I don¡¯t know why I'm so unhappy.",S,,
88,"These friends are my best friends and they¡¯re all amazing people, and yet I'm sad all the time and feel alone.",P,,
89,"I used to be the funny guy of the group¡ªthe class clown, if you will.",S,,
89,I used to laugh uncontrollably all the time and be able to be social without it feeling awkward.,P,,
89,"Now I can't laugh at all, and I'm dead inside.",P,,
90,"I've been feeling worthless, unaccomplished, and so frustrated.",P,,
90,"I want to break things, hit myself, run away, kick, scream, and cry.",P,,
90,I just want to be happy and outgoing again.,P,,
90,I want to be able to take care of my daughter and live comfortably.,S,,
91,I keep feeling paralyzed and unsure during interviews.,P,,
91,"Previous jobs have fired me for lack of performance, and five employers have rejected me after extensive personality tests and interviews.",S,,
91,I'm afraid of continuing because my depression is getting worse.,P,,
91,I'm already humiliated working for temp agencies and doubt my self-worth as a provider for my family.,P,,
92,I feel like I am not at a good state of mind.,P,,
92,I'm very unsettled in my soul.,P,,
92,"I'm not happy with myself or the decisions I make, which makes me not happy with anyone else.",P,,
92,I feel like a failure most of my days.,P,,
92,I don't feel like I'm good at anything anymore.,P,,
92,I feel like less of a person.,P,,
93,I am not sure if I am depressed.,P,,
93,"I don't know how to bring it up to my parents, and that makes me miserable.",S,,
94,I have absolutely nothing to do with my life but lay in bed on my phone or hangout with my one friend.,P,,
94,"I don't have a job, my family doesn't include me in anything, and I don't have many friends.",S,,
94,I have nothing to do besides go on my phone.,P,,
94,I miss talking to people in person instead of online.,S,,
94,I don't even talk to my family in person even from the other room.,S,,
95,I sleep a lot.,B,,
95,Music changes my mood.,P,,
95,I cry every Wednesday.,P,,
95,My mind is like a maze that even I get lost in.,P,,
95,"I don't usually feel my true emotions, but instead, I get fake mirrored ones.",P,,
96,I live a normal life.,N,,
96,"I have tons of friends and family, but I feel lonely.",P,,
97,I started having anxiety three months ago.,B,,
97,"I'm new to having anxiety, and it's making me depressed.",P,,
98,"I have no friends, no hobbies, and no interest in anything.",P,,
98,I get annoyed with everything and everyone.,P,,
98,"I am always tired, i can sleep 8 hrs or 12 hrs and im still tired.",B,,
98,I don't know what to do.,P,,
98,Is this normal?,N,,
99,"I have a lot on my mind, but all I want to do is stay locked in my room and not socialize with anyone.",P,,
99,Why do I feel so alone?,P,,
101,My dad passed away when I was a teenager.,P,,
101,"I never got any help, and five years later, I feel like I can't handle it anymore.",P,,
102,I am a single mother.,,,
102,"As a child, I was molested by my mother's boyfriend.",,,
102,I never knew my father.,,,
102,I started having children at 18 right after high school.,,,
102,"After having children, I completely lost myself and gave all of my focus on my children.",,,
102,"Now my children are getting older, but I still don't know myself.",,,
102,"I've had several attempts at relationships, and they all fail.",,,
102,I stopped caring about a lot after my children's father left me.,,,
102,I fell into a spiral and got depressed.,,,
103,I always see the worst end of things.,,,
103,"My boyfriend and I aren't talking, and I swear he's leaving me.",,,
103,"I keep failing my road test, and I see my future crumble.",,,
103,I have no desire for friends.,,,
103,"I pushed my best friend away after Christmas, and I have no desire to fix it or make new friends.",,,
103,"My aunt died, and I cry all the time, even if I burn my lunch.",,,
104,I was anxious to go to middle school.,,,
104,"I was afraid of what people might say about me, so when school started, I wasn't acting like myself.",,,
104,"I was quiet, which I'm usually not.",,,
104,I didn't talk to anybody and didn't have any friends.,,,
104,"Then a few years later, my grandma died.",,,
104,I really became depressed and stop going to school for a little.,,,
104,I hated myself and still do.,,,
104,I just need help.,,,
104,I need someone to care for me.,,,
104,I need someone to show that they care.,,,
105,I was in a situation with a guy.,,,
105,He¡¯s my brother¡¯s friend and kind of like a brother to me.,,,
105,"He invited me over to hang out, and then came on to me.",,,
105,"I was instantly terrified to say no, and I gave in.",,,
105,I don't know what's wrong with me.,,,
105,I can't figure out why I'm afraid to say no.,,,
105,This is giving me a lot of guilt and depression.,,,
106,"People have been calling me names, and I have had enough of it.",,,
106,I cannot stand it anymore I'm done.,,,
106,"I have told someone this, and that is why I am writing this.",,,
106,The thoughts are awful.,,,
107,"My life is completely normal, yet I feel empty inside.",,,
107,I feel as if I already know why I'm alive: to reproduce and die.,,,
108,I'm almost never happy.,,,
108,"Half of the time, I don't feel anything.",,,
108,I find it easy to make myself feel nothing.,,,
108,I know I push people away because it¡¯s easier.,,,
108,I just want answers.,,,
108,I'm sick of feeling this way.,,,
108,It¡¯s ruining my relationships with people.,,,
109,My husband and I are in a terrible place.,,,
109,"Part of me wants to fix it, but then I'm caught up with not knowing how and not being able to communicate my feelings to him because he always feels I'm blaming him.",,,
109,Sometimes I am because the feelings of distrust are so strong.,,,
109,"I feel they must be coming from something he's doing, but sometimes I know I'm being irrational.",,,
109,"Still, that doesn't stop the anxiety.",,,
109,"The other half of the time, I just want to walk away, but I feel like that will only be a temporary fix.",,,
110,"They don't go away, and I feel like I'm going crazy.",,,
110,Does that ever stop?,,,
110,Can it be a symptom of medication?,,,
111,A girl and I were madly in love.,,,
111,We dated for over a year and were even talking about marriage and future plans together.,,,
111,"She moved away for school, and we attempted a long distance relationship.",,,
111,We eventually broke up.,,,
111,"It's been a year now, and I still haven't lost my feelings for her.",,,
111,I still love her the same way I did.,,,
111,I've suffered from depression ever since the breakup and have been unable to connect with anyone else.,,,
111,It's damaging me and my life.,,,
112,I've got so much anger.,,,
112,I don't know how to control myself.,,,
112,"My girlfriend screams at me all the time, and sometime I don't know how to deal with life.",,,
112,I'm very depressed and angry.,,,
112,I feel lost.,,,
113,I've been having this ongoing problem for most of my life now.,,,
113,"I am a young adult, and right now, driving and even being a passenger gives me terrible panic attacks and anxiety.",,,
113,I can't ride in the backseat or the front seat with the safety belt on.,,,
113,I have to lean the seat back a bit because the pressure on my back terrifies me.,,,
113,I miss so many opportunities to go places with friends and family because of my fears of having a panic attack.,,,
113,My family offers little to no support.,,,
113,They think it's fake or "all in my head.",,,
113,It makes me feel guilty and at times depressed to the point where I'd rather never wake up anymore.,,,
113,"I am not self-harming, I just feel meaningless.",,,
113,This constant fear has taken over my thoughts and my life.,,,
113,I was such a happy person.,,,
113,I want my life back.,,,
113,"I want to travel with my friends and family again, but I don't know how.",,,
113,I've almost given up hope on getting better and just accepting the fact that I'll live with this anxiety forever.,,,
114,"I am broke, but I am sure I have been depressed for the past couple of years.",,,
114,I have always had anxiety.,,,
114,I just need someone to talk to right now.,,,
114,I don't have any friends or family I can talk to.,,,
114,I'm on the verge of just giving up.,,,
116,I don't know how to have emotions.,,,
116,I never had any from my birth.,,,
116,"Being human, I think of myself as a monster.",,,
116,I enjoy pain.,,,
116,I cut myself for my climax during sex.,,,
116,"I think most of the time, I lie, even when sometimes it would have been easy just to tell the truth.",,,
116,I was in rehabilitation for four year.,,,
116,"I have made love with both men and women, but it made no impact in my emotions.",,,
