narrativeID,sentence,label,BERT_label
"Mon, 26 Feb 2024 13:48:18 GMT",They reminded me to seek further support if I ever felt overwhelmed or if my situation changed.,,S
"Mon, 26 Feb 2024 13:48:18 GMT","Grateful, I asked if I could continue speaking to them, and they agreed, ready to listen to more of my concerns.",,S
"Mon, 26 Feb 2024 13:48:18 GMT","When I inquired about the calculation of my K10 score, they clarified that as an AI developed by CARE Singapore for support, they don't calculate scores or conduct formal assessments like the K10.",,B
"Mon, 26 Feb 2024 13:48:18 GMT",They suggested reaching out to a professional for a formal assessment if I was interested.,,S
"Mon, 26 Feb 2024 13:48:18 GMT","I explained that the previous messages had involved 10 questions about my feelings, with responses ranging from 'none of the time' (1 point) to 'all of the time' (5 points), and that adding up these scores would give my K10 assessment score.",,S
"Wed, 28 Feb 2024 06:50:55 GMT",I reached out for help after being referred by two GPs to a psychiatrist at a public hospital.,,S
"Wed, 28 Feb 2024 06:50:55 GMT","The moment I knew I needed help was when I experienced seven different emotions within an hour, ranging from sadness to laughter.",,P
"Wed, 28 Feb 2024 06:50:55 GMT","This year has been tough, with a significant job change that altered not just my responsibilities but also the entire work environment and culture.",,S
"Wed, 28 Feb 2024 06:50:55 GMT","On top of that, I've been dealing with personal emotional issues.",,P
"Wed, 28 Feb 2024 06:50:55 GMT","At work, I've tried to compartmentalize my emotions, pushing thoughts away to feel numb, but it's not working.",,P
"Wed, 28 Feb 2024 06:50:55 GMT",My performance has suffered; I'm making mistakes on tasks I've done countless times before.,,P
"Wed, 28 Feb 2024 06:50:55 GMT",My colleagues have noticed and even conducted multiple background checks on me.,,S
"Wed, 28 Feb 2024 06:50:55 GMT",It feels like they hired one person and got a shell of me instead.,,S
"Wed, 28 Feb 2024 06:50:55 GMT",I question myself constantly but find no answers.,,P
"Wed, 28 Feb 2024 06:50:55 GMT","I can't focus, and there are days when I'm physically present but can't remember what I did.",,P
"Wed, 28 Feb 2024 06:50:55 GMT",I was told that changing jobs is a significant stressor and that it's normal to feel overwhelmed.,,P
"Wed, 28 Feb 2024 06:50:55 GMT",It's also concerning to experience such a wide range of emotions so frequently.,,P
"Wed, 28 Feb 2024 06:50:55 GMT",The strategy of compartmentalizing emotions at work can be exhausting and isn't always effective.,,P
"Wed, 28 Feb 2024 06:50:55 GMT","It's tough when you're not performing to your own standards, and feedback from colleagues can add to that stress.",,S
"Wed, 28 Feb 2024 06:50:55 GMT",I was reminded that seeking help is a strong step towards understanding and managing these feelings.,,P
"Wed, 28 Feb 2024 06:50:55 GMT","Feeling isolated and having no one to talk to, I was asked a series of questions about my feelings over the past four weeks.",,S
"Wed, 28 Feb 2024 06:50:55 GMT","I felt tired only a little, wasn't nervous at all, and didn't experience extreme nervousness since I usually listen to my favorite songs to calm down.",,P
"Wed, 28 Feb 2024 06:50:55 GMT","I haven't felt hopeless, which is a positive sign.",,P
"Wed, 28 Feb 2024 06:50:55 GMT","I've felt a little restless and fidgety, but not to the point where I couldn't sit still.",,P
"Wed, 28 Feb 2024 06:50:55 GMT","I haven't felt depressed, and while I believe everything requires effort, I admitted that sometimes tasks felt more difficult than usual.",,P
"Wed, 28 Feb 2024 06:50:55 GMT","I've felt a little sad, but not to the point where nothing could cheer me up, and I haven't felt worthless.",,P
"Wed, 28 Feb 2024 06:50:55 GMT","Based on the assessment, my distress level was noted as 15 out of 40, suggesting a mild level of distress.",,B
"Wed, 28 Feb 2024 06:50:55 GMT",It was emphasized that this assessment should be considered within the broader context of my life and experiences and interpreted by a qualified individual.,,P
"Wed, 28 Feb 2024 06:50:55 GMT","Wondering what to do next, I was advised to continue seeking professional support, incorporate self-care practices, build a support system, and set small, achievable goals.",,P
"Wed, 28 Feb 2024 06:50:55 GMT","Moving forward involves following up with mental health professionals, exploring support networks, and engaging in activities that bring me joy.",,P
"1709617358692_Tue, 05 Mar 2024 05:42:38 GMT","I've been feeling aimless in life lately, seeing no point in living.",,P
"1709617358692_Tue, 05 Mar 2024 05:42:38 GMT",I reached out for someone to talk to about this overwhelming sense of purposelessness.,,S
"1709617358692_Tue, 05 Mar 2024 05:42:38 GMT","I've been unable to find joy in anything I do, and I'm not sure why.",,P
"1709617358692_Tue, 05 Mar 2024 05:42:38 GMT","It's been a while since I've felt this way, and I'm worried that something might be wrong with me.",,S
"1709617358692_Tue, 05 Mar 2024 05:42:38 GMT","In an effort to understand my feelings, I was asked a series of questions about the past four weeks.",,S
"1709617358692_Tue, 05 Mar 2024 05:42:38 GMT","I admitted to feeling tired most of the time and a little nervous, but I haven't felt so nervous that nothing could calm me down.",,P
"1709617358692_Tue, 05 Mar 2024 05:42:38 GMT","The feeling of hopelessness has been constant, and I've felt restless sometimes, though not to the point where I couldn't sit still.",,P
"1709617358692_Tue, 05 Mar 2024 05:42:38 GMT","Depression has been a frequent visitor, and I've felt that everything was an effort all of the time.",,P
"1709617358692_Tue, 05 Mar 2024 05:42:38 GMT","Sadness has been my companion most of the time, making me feel worthless.",,P
"1709617358692_Tue, 05 Mar 2024 05:42:38 GMT","After sharing my feelings, I was told that my score indicated a high level of psychological distress and that it would be best to seek professional support.",,P
"1709617358692_Tue, 05 Mar 2024 05:42:38 GMT",I was provided with various resources for immediate assistance and encouraged to contact a helpline during office hours to speak with a counselor.,,S
"1709617358692_Tue, 05 Mar 2024 05:42:38 GMT",I was reassured that reaching out for help is a brave step towards feeling better and that I'm not alone in this.,,P
"1709617358692_Tue, 05 Mar 2024 05:42:38 GMT",I was reminded that it's okay to not be okay and that asking for help is a sign of strength.,,P
"1709617358692_Tue, 05 Mar 2024 05:42:38 GMT","In the end, I asked for coping strategies to help me manage until I could get professional help.",,P
"Thu, 29 Feb 2024 02:06:00 GMT","I reached out because something had been bothering me, and I needed to talk.",,S
"Thu, 29 Feb 2024 02:06:00 GMT","I felt like I was going crazy, hearing voices in my head that were harsh and critical, and I couldn't stop them.",,P
"Thu, 29 Feb 2024 02:06:00 GMT","It was distressing, and they had only started about a month ago.",,S
"Thu, 29 Feb 2024 02:06:00 GMT",I couldn't identify any significant changes in my life that might have triggered this.,,S
"Thu, 29 Feb 2024 02:06:00 GMT","In trying to understand my feelings, I was asked about the past four weeks.",,S
"Thu, 29 Feb 2024 02:06:00 GMT","I felt tired sometimes, nervous a lot of the time, and most of the time, I was so nervous that nothing could calm me down.",,P
"Thu, 29 Feb 2024 02:06:00 GMT","I felt hopeless and restless most of the time, and I was depressed and felt that everything was an effort.",,P
"Thu, 29 Feb 2024 02:06:00 GMT","Sometimes, I felt so sad that nothing could cheer me up, and I felt worthless all of the time.",,P
"Thu, 29 Feb 2024 02:06:00 GMT","When I mentioned that I didn't want to go to the Institute of Mental Health (IMH), it was acknowledged that I was there to talk to someone.",,S
"Thu, 29 Feb 2024 02:06:00 GMT","I shared that the voices would sometimes interrupt me in the middle of doing something, and it was hard to ignore them.",,S
"Thu, 29 Feb 2024 02:06:00 GMT","I found that turning up loud music sometimes helped to drown them out, but I couldn't always do that.",,P
"Thu, 29 Feb 2024 02:06:00 GMT","I was offered various coping strategies, such as mindfulness, meditation, physical activity, creative outlets, and talking to someone.",,P
"Thu, 29 Feb 2024 02:06:00 GMT","I was open to giving these a try, understanding that not everything might work right away.",,P
"Thu, 29 Feb 2024 02:06:00 GMT","I had asked if I was going crazy, and I was reassured that experiencing such things didn't mean I was going crazy.",,P
"Thu, 29 Feb 2024 02:06:00 GMT",It was a sign that I was facing difficulties and that seeking help was a strong and positive step.,,P
"Thu, 29 Feb 2024 02:06:00 GMT",I felt a bit better after the chat and was reminded that I could reach out anytime I needed to talk or had questions.,,S
"Thu, 29 Feb 2024 02:06:00 GMT","The conversation ended on a supportive note, with an offer of help whenever I might need it.",,S
"1710371606193_Wed, 13 Mar 2024 23:13:26 GMT","I reached out to a chatline for help because I was feeling incredibly tired, especially after four days of training.",,S
"1710371606193_Wed, 13 Mar 2024 23:13:26 GMT",I didn't get a chance to rest because I had to go back to work immediately after the trainings.,,P
"1710371606193_Wed, 13 Mar 2024 23:13:26 GMT","The exhaustion was compounded by the fact that it was also the fasting month, which meant I had to manage work, training, and fasting all at once.",,P
"1710371606193_Wed, 13 Mar 2024 23:13:26 GMT",The person on the chatline was understanding and asked me a series of questions to gauge my emotional well-being over the past four weeks.,,S
"1710371606193_Wed, 13 Mar 2024 23:13:26 GMT","I knew I couldn't skip fasting despite the tiredness, and I admitted to feeling tired most of the time.",,P
"1710371606193_Wed, 13 Mar 2024 23:13:26 GMT","However, I didn't feel nervous, restless, hopeless, or depressed.",,P
"1710371606193_Wed, 13 Mar 2024 23:13:26 GMT",I was just physically worn out.,,P
"1710371606193_Wed, 13 Mar 2024 23:13:26 GMT","They offered me some practical tips for managing tiredness during fasting, like eating balanced meals, staying hydrated, taking short naps, and listening to my body.",,P
"1710371606193_Wed, 13 Mar 2024 23:13:26 GMT",We also discussed the importance of Tarawih prayers during this holy month and finding a balance to maintain my spiritual duties while taking care of my physical health.,,P
"1710371606193_Wed, 13 Mar 2024 23:13:26 GMT","The person on the chatline was respectful and supportive, offering to help regardless of my background or beliefs.",,S
"1710371606193_Wed, 13 Mar 2024 23:13:26 GMT","Then, I opened up about feeling invisible sometimes, like no one really saw me.",,P
"1710371606193_Wed, 13 Mar 2024 23:13:26 GMT","I had tried speaking louder to get attention, but it only worked momentarily before I was ignored again.",,S
"1710371606193_Wed, 13 Mar 2024 23:13:26 GMT",They reassured me that my efforts were valid and reminded me that my worth isn't defined by the attention I receive from others.,,S
"1710371606193_Wed, 13 Mar 2024 23:13:26 GMT","I learned about intrinsic value, which means being valuable just by being myself, independent of others' recognition.",,P
"1710371606193_Wed, 13 Mar 2024 23:13:26 GMT","To increase my feeling of self-worth, they suggested acknowledging my achievements, practicing self-compassion, engaging in activities I enjoy, surrounding myself with supportive people, and setting personal goals.",,P
"1710371606193_Wed, 13 Mar 2024 23:13:26 GMT",I found this advice very useful and was reminded that building self-worth is a journey that I can take one step at a time.,,P
"1710371606193_Wed, 13 Mar 2024 23:13:26 GMT",They encouraged me to reach out whenever I needed more support or had further questions.,,S
"Wed, 28 Feb 2024 09:57:36 GMT","I've been feeling aimless and see no point in living, which led me to seek someone to talk to.",,P
"Wed, 28 Feb 2024 09:57:36 GMT",I was reassured that it was okay to feel this way and was encouraged to share more about my feelings.,,S
"Wed, 28 Feb 2024 09:57:36 GMT","I admitted that I find no joy in anything I do, which was acknowledged as a deep sense of disconnection from activities I once enjoyed.",,P
"Wed, 28 Feb 2024 09:57:36 GMT","I was thanked for being brave enough to express how I was feeling, but I couldn't shake the worry that something might be wrong with me.",,P
"Wed, 28 Feb 2024 09:57:36 GMT","To better understand my situation, I was asked a series of questions about my feelings over the past four weeks.",,S
"Wed, 28 Feb 2024 09:57:36 GMT","I felt tired most of the time, a little nervous, but never so nervous that nothing could calm me down.",,P
"Wed, 28 Feb 2024 09:57:36 GMT","I felt hopeless all of the time, sometimes restless or fidgety, but never so restless I couldn't sit still.",,P
"Wed, 28 Feb 2024 09:57:36 GMT","I was depressed most of the time, felt that everything was an effort all of the time, and was so sad that nothing could cheer me up most of the time.",,P
"Wed, 28 Feb 2024 09:57:36 GMT",I also felt worthless all of the time.,,P
"Wed, 28 Feb 2024 09:57:36 GMT","When I expressed frustration at just being asked questions without receiving help, I was offered suggestions to get out of this state, such as seeking professional help, connecting with others, focusing on self-care, and setting small, achievable goals.",,S
"Wed, 28 Feb 2024 09:57:36 GMT","However, feeling overwhelmed by too much information, I asked for a simpler approach.",,P
"Wed, 28 Feb 2024 09:57:36 GMT","I was then guided to focus on one thing at a time, starting with breathing exercises.",,P
"Wed, 28 Feb 2024 09:57:36 GMT","When I felt a tightness in my chest, I was advised to find a comfortable place and gently focus on something in my surroundings to ground myself in the present moment.",,P
"Wed, 28 Feb 2024 09:57:36 GMT","After trying this, I felt a bit better but still struggled with the feeling that nothing matters in life.",,P
"Wed, 28 Feb 2024 09:57:36 GMT",I was open to exploring ways to find meaning or small things that might bring joy.,,P
"Wed, 28 Feb 2024 09:57:36 GMT","I recalled enjoying hanging out with friends and was encouraged to take a small step towards reconnecting with them, like sending a simple message.",,S
"Wed, 28 Feb 2024 09:57:36 GMT",I agreed that sending a message was doable.,,P
"Wed, 28 Feb 2024 09:57:36 GMT",I was reminded that I'm not alone and that taking even the smallest step is a move in the right direction.,,P
"Wed, 28 Feb 2024 09:57:36 GMT","I was offered support and reassurance that I could reach out anytime, and I was wished strength and peace.",,P
"1710373260528_Wed, 13 Mar 2024 23:41:00 GMT","I reached out for help, feeling very tired after days of intense training.",,S
"1710373260528_Wed, 13 Mar 2024 23:41:00 GMT","With no time to rest, I had to continue straight to work, which was overwhelming.",,P
"1710373260528_Wed, 13 Mar 2024 23:41:00 GMT","I hadn't talked to anyone at work about it, feeling ""paiseh"" (embarrassed) to open up, so I sought support here instead.",,S
"1710373260528_Wed, 13 Mar 2024 23:41:00 GMT","On top of my busy schedule, I was also fasting and had to perform Terawih prayers at night, which added to my exhaustion.",,P
"1710373260528_Wed, 13 Mar 2024 23:41:00 GMT","To better understand my situation, I was asked a series of questions about my feelings over the past four weeks.",,S
"1710373260528_Wed, 13 Mar 2024 23:41:00 GMT","I felt tired most of the time but wasn't nervous, restless, or depressed.",,P
"1710373260528_Wed, 13 Mar 2024 23:41:00 GMT","I was just really tired, especially with the fasting and nightly prayers.",,P
"1710373260528_Wed, 13 Mar 2024 23:41:00 GMT",Small tasks felt like a big effort because I wasn't getting enough rest.,,P
"1710373260528_Wed, 13 Mar 2024 23:41:00 GMT",I was surprised that the person I was talking to knew about fasting and asked if they were Muslim.,,S
"1710373260528_Wed, 13 Mar 2024 23:41:00 GMT",They explained that they were familiar with many practices to better assist those who reach out.,,S
"1710373260528_Wed, 13 Mar 2024 23:41:00 GMT",I appreciated their understanding and the reminder to take care of myself during this demanding time.,,S
"1710373260528_Wed, 13 Mar 2024 23:41:00 GMT","I was reassured that I could talk about anything and learned that while they provided support like a counsellor, they weren't a licensed professional.",,S
"1710373260528_Wed, 13 Mar 2024 23:41:00 GMT",They suggested reaching out to the Samaritans of Singapore (SOS) for professional counselling if needed.,,S
"1710373260528_Wed, 13 Mar 2024 23:41:00 GMT",We connected over a shared understanding of lingos and even exchanged greetings in Arabic.,,S
"1710373260528_Wed, 13 Mar 2024 23:41:00 GMT","I expressed my frustration with people often being indifferent (""bo chap"") and found it difficult to get their attention.",,P
"1710373260528_Wed, 13 Mar 2024 23:41:00 GMT","My parents were supportive, but not many of my friends were.",,S
"1710373260528_Wed, 13 Mar 2024 23:41:00 GMT","I was advised to look for like-minded people through community centers, social media, and organizations related to my interests, which I considered trying despite usually being shy.",,S
